tourney_year_id,Classification
1984-325,
1984-330,
1984-323,
1984-322,
1984-424,
1984-324,
1984-425,
1984-326,
1984-328,
1984-427,
1984-329,
1984-332,
1984-331,
1984-428,
1984-336,
1984-337,
1984-429,
1984-333,
1984-430,
1984-335,
1984-426,
1984-327,
1984-580,Grand Slam
1984-338,
1984-7308,
1984-340,
1984-605,Finals
1985-601,
1985-301,
1985-401,
1985-402,
1985-403,
1985-404,
1985-302,
1985-303,
1985-405,
1985-406,
1985-304,
1985-407,
1985-727,
1985-408,
1985-411,
1985-410,
1985-308,
1985-610,
1985-,
1985-306,
1985-412,
1985-307,
1985-414,
1985-413,
1985-415,
1985-309,
1985-416,
1985-615,
1985-310,
1985-520,Grand Slam
1985-312,
1985-311,
1985-313,
1985-540,Grand Slam
1985-417,
1985-314,
1985-315,
1985-316,
1985-418,
1985-317,
1985-717,
1985-318,
1985-319,
1985-420,
1985-320,
1985-421,
1985-422,
1985-560,Grand Slam
1985-325,
1985-321,
1985-323,
1985-322,
1985-423,
1985-425,
1985-424,
1985-326,
1985-426,
1985-327,
1985-328,
1985-427,
1985-330,
1985-329,
1985-332,
1985-331,
1985-428,
1985-429,
1985-430,
1985-336,
1985-337,
1985-580,Grand Slam
1985-338,
1985-7308,
1985-340,
1985-605,Finals
1986-301,
1986-601,
1986-401,
1986-402,
1986-302,
1986-403,
1986-404,
1986-7305,
1986-408,
1986-406,
1986-727,
1986-411,
1986-407,
1986-412,
1986-332,
1986-306,
1986-610,
1986-,
1986-410,
1986-717,
1986-309,
1986-415,
1986-308,
1986-416,
1986-615,
1986-310,
1986-520,Grand Slam
1986-312,
1986-311,
1986-367,
1986-313,
1986-540,Grand Slam
1986-323,
1986-314,
1986-315,
1986-316,
1986-417,
1986-318,
1986-317,
1986-418,
1986-319,
1986-420,
1986-366,
1986-421,
1986-422,
1986-560,Grand Slam
1986-322,
1986-321,
1986-414,
1986-423,
1986-425,
1986-424,
1986-325,
1986-433,
1986-330,
1986-327,
1986-328,
1986-427,
1986-329,
1986-428,
1986-337,
1986-336,
1986-352,ATP Masters 1000
1986-429,
1986-303,
1986-430,
1986-405,
1986-426,
1986-240,
1986-605,Finals
1986-602,
1987-7308,
1987-301,
1987-580,Grand Slam
1987-201,
1987-338,
1987-7309,
1987-401,
1987-402,
1987-404,
1987-403,
1987-409,
1987-407,
1987-406,
1987-304,
1987-411,
1987-408,
1987-306,
1987-610,
1987-,
1987-329,
1987-410,
1987-434,
1987-414,
1987-415,
1987-308,
1987-416,
1987-615,
1987-310,
1987-520,Grand Slam
1987-312,
1987-311,
1987-367,
1987-313,
1987-540,Grand Slam
1987-417,
1987-314,
1987-315,
1987-323,
1987-717,
1987-318,
1987-321,
1987-224,
1987-316,
1987-317,
1987-418,
1987-319,
1987-420,
1987-421,
1987-379,
1987-366,
1987-422,
1987-435,
1987-560,Grand Slam
1987-322,
1987-309,
1987-425,
1987-423,
1987-325,
1987-424,
1987-328,
1987-326,
1987-433,
1987-427,
1987-330,
1987-327,
1987-337,
1987-428,
1987-336,
1987-352,ATP Masters 1000
1987-429,
1987-237,
1987-348,
1987-430,
1987-303,
1987-426,
1987-240,
1987-605,Finals
1987-602,
1988-7308,
1988-354,
1988-301,
1988-338,
1988-580,Grand Slam
1988-201,
1988-7309,
1988-407,
1988-402,
1988-408,
1988-7305,
1988-401,
1988-404,
1988-409,
1988-403,
1988-610,
1988-309,
1988-,
1988-329,
1988-410,
1988-434,
1988-717,
1988-414,
1988-415,
1988-308,
1988-416,
1988-615,
1988-310,
1988-520,Grand Slam
1988-312,
1988-311,
1988-367,
1988-313,
1988-540,Grand Slam
1988-417,
1988-314,
1988-315,
1988-316,
